level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	720	-1	
2	1	1	0	0	0	38	24	1205	19	-1	
3	1	1	1	0	0	38	24	1205	19	-1	
4	1	1	1	1	0	38	24	1205	19	-1	
5	1	1	1	1	1	38	24	20	19	79.377533	@
5	1	1	1	1	2	76	27	84	16	95.703865	NEXUS
5	1	1	1	1	3	177	27	100	16	96.498642	EVENTS
5	1	1	1	1	4	495	31	42	10	96.531158	LIVE
5	1	1	1	1	5	547	31	87	10	95.932114	ATTENDEE
5	1	1	1	1	6	646	31	86	10	78.273476	CHECK-IN
5	1	1	1	1	7	744	31	42	10	96.840607	FEED
5	1	1	1	1	8	1149	28	94	13	14.641159	729059
